Tick 1 0_6 attacks 1_9 with 49100, killing 3 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4070_6 attacks 1_6 with 21560, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 29068, killing 0 units
0_1 attacks 1_3 with 91120, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 21800, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 9735, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4080_6 attacks 1_6 with 21400, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 28652, killing 0 units
0_1 attacks 1_3 with 90928, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 21630, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 9504, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4090_6 attacks 1_6 with 21240, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 28236, killing 0 units
0_1 attacks 1_3 with 90736, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 21460, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 9273, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4100_6 attacks 1_6 with 21080, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 27820, killing 0 units
0_1 attacks 1_3 with 90544, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 21290, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 9042, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4110_6 attacks 1_6 with 20920, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 27404, killing 0 units
0_1 attacks 1_3 with 90352, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 21120, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 8811, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4120_6 attacks 1_6 with 20760, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 26988, killing 0 units
0_1 attacks 1_3 with 90160, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20950, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 8580, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4130_6 attacks 1_6 with 20600, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 26572, killing 0 units
0_1 attacks 1_3 with 89968, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20780, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 8349, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4140_6 attacks 1_6 with 20440, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 26156, killing 0 units
0_1 attacks 1_3 with 89776, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20610, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 8118, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4150_6 attacks 1_6 with 20280, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 25740, killing 0 units
0_1 attacks 1_3 with 89584, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20440, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 7887, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4160_6 attacks 1_6 with 20120, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 25324, killing 0 units
0_1 attacks 1_3 with 89392, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20270, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 7656, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4170_6 attacks 1_6 with 19960, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 24908, killing 0 units
0_1 attacks 1_3 with 89200, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 20100, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 7425, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4180_6 attacks 1_6 with 19800, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 24492, killing 0 units
0_1 attacks 1_3 with 89008, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19930, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 7194, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4190_6 attacks 1_6 with 19640, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 24076, killing 0 units
0_1 attacks 1_3 with 88816, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19760, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 6963, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4200_6 attacks 1_6 with 19480, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 23660, killing 0 units
0_1 attacks 1_3 with 88624, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19590, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 6732, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4210_6 attacks 1_6 with 19320, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 23244, killing 0 units
0_1 attacks 1_3 with 88432, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19420, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 6501, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4220_6 attacks 1_6 with 19160, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 22828, killing 0 units
0_1 attacks 1_3 with 88240, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19250, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 6270, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4230_6 attacks 1_6 with 19000, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 22412, killing 0 units
0_1 attacks 1_3 with 88048, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 19080, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 6039, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4240_6 attacks 1_6 with 18840, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 21996, killing 0 units
0_1 attacks 1_3 with 87856, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18910, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 5808, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4250_6 attacks 1_6 with 18680, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 21580, killing 0 units
0_1 attacks 1_3 with 87664, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18740, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 5577, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4260_6 attacks 1_6 with 18520, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 21164, killing 0 units
0_1 attacks 1_3 with 87472, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18570, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 5346, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4270_6 attacks 1_6 with 18360, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 20748, killing 0 units
0_1 attacks 1_3 with 87280, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18400, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 5115, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4280_6 attacks 1_6 with 18200, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 20332, killing 0 units
0_1 attacks 1_3 with 87088, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18230, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 4884, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4290_6 attacks 1_6 with 18040, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 19916, killing 0 units
0_1 attacks 1_3 with 86896, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 18060, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 4653, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4300_6 attacks 1_6 with 17880, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 19500, killing 0 units
0_1 attacks 1_3 with 86704, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17890, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 4422, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4310_6 attacks 1_6 with 17720, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 19084, killing 0 units
0_1 attacks 1_3 with 86512, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17720, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 4191, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4320_6 attacks 1_6 with 17560, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 18668, killing 0 units
0_1 attacks 1_3 with 86320, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17550, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 3960, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4330_6 attacks 1_6 with 17400, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 18252, killing 0 units
0_1 attacks 1_3 with 86128, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17380, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 3729, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4340_6 attacks 1_6 with 17240, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 17836, killing 0 units
0_1 attacks 1_3 with 85936, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17210, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 3498, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4350_6 attacks 1_6 with 17080, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 17420, killing 0 units
0_1 attacks 1_3 with 85744, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 17040, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 3267, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4360_6 attacks 1_6 with 16920, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 17004, killing 0 units
0_1 attacks 1_3 with 85552, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 16870, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 3036, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4370_6 attacks 1_6 with 16760, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 16588, killing 0 units
0_1 attacks 1_3 with 85360, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 16700, killing 0 units
1_3 attacks 0_0 with 37583, killing 3 units
0_0 attacks 1_0 with 2937, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4380_6 attacks 1_6 with 16280, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 16224, killing 0 units
0_1 attacks 1_3 with 85168, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 16530, killing 0 units
1_3 attacks 0_0 with 37534, killing 3 units
0_0 attacks 1_0 with 2838, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4390_6 attacks 1_6 with 15800, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 15860, killing 0 units
0_1 attacks 1_3 with 84976, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 16360, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 2607, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4400_6 attacks 1_6 with 15640, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 15444, killing 0 units
0_1 attacks 1_3 with 84784, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 16190, killing 0 units
1_3 attacks 0_0 with 37436, killing 3 units
0_0 attacks 1_0 with 2508, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4410_6 attacks 1_6 with 15160, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 15080, killing 0 units
0_1 attacks 1_3 with 84592, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 16020, killing 0 units
1_3 attacks 0_0 with 37387, killing 3 units
0_0 attacks 1_0 with 2409, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4420_6 attacks 1_6 with 14680, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 14716, killing 0 units
0_1 attacks 1_3 with 84400, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 15850, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 2178, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4430_6 attacks 1_6 with 14520, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 14300, killing 0 units
0_1 attacks 1_3 with 84208, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 15680, killing 0 units
1_3 attacks 0_0 with 37289, killing 3 units
0_0 attacks 1_0 with 2079, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4440_6 attacks 1_6 with 14040, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 13936, killing 0 units
0_1 attacks 1_3 with 84016, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 15510, killing 0 units
1_3 attacks 0_0 with 37240, killing 3 units
0_0 attacks 1_0 with 1980, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4450_6 attacks 1_6 with 13560, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 13572, killing 0 units
0_1 attacks 1_3 with 83824, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 15340, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 1749, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4460_6 attacks 1_6 with 13400, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 13156, killing 0 units
0_1 attacks 1_3 with 83632, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 15170, killing 0 units
1_3 attacks 0_0 with 37142, killing 3 units
0_0 attacks 1_0 with 1650, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4470_6 attacks 1_6 with 12920, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 12792, killing 0 units
0_1 attacks 1_3 with 83440, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 15000, killing 0 units
1_3 attacks 0_0 with 37093, killing 3 units
0_0 attacks 1_0 with 1551, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4480_6 attacks 1_6 with 12440, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 12428, killing 0 units
0_1 attacks 1_3 with 83248, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 14830, killing 0 units
1_3 attacks 0_0 with 37044, killing 3 units
0_0 attacks 1_0 with 1452, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4490_6 attacks 1_6 with 11960, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 12064, killing 0 units
0_1 attacks 1_3 with 83056, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 14660, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 1221, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4500_6 attacks 1_6 with 11800, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 11648, killing 0 units
0_1 attacks 1_3 with 82864, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 14490, killing 0 units
1_3 attacks 0_0 with 36946, killing 3 units
0_0 attacks 1_0 with 1122, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4510_6 attacks 1_6 with 11320, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 11284, killing 0 units
0_1 attacks 1_3 with 82672, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 14320, killing 0 units
1_3 attacks 0_0 with 36897, killing 3 units
0_0 attacks 1_0 with 1023, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4520_6 attacks 1_6 with 10840, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 10920, killing 0 units
0_1 attacks 1_3 with 82480, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 14150, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 792, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4530_6 attacks 1_6 with 10680, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 10504, killing 0 units
0_1 attacks 1_3 with 82288, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 13980, killing 0 units
1_3 attacks 0_0 with 36799, killing 3 units
0_0 attacks 1_0 with 693, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4540_6 attacks 1_6 with 10200, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 10140, killing 0 units
0_1 attacks 1_3 with 82096, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 13810, killing 0 units
1_3 attacks 0_0 with 36750, killing 3 units
0_0 attacks 1_0 with 594, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4550_6 attacks 1_6 with 9720, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 9776, killing 0 units
0_1 attacks 1_3 with 81904, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 13640, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
0_0 attacks 1_0 with 363, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4560_6 attacks 1_6 with 9560, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 9360, killing 0 units
0_1 attacks 1_3 with 81712, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 13470, killing 0 units
1_3 attacks 0_0 with 36652, killing 3 units
0_0 attacks 1_0 with 264, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4570_6 attacks 1_6 with 9080, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 8996, killing 0 units
0_1 attacks 1_3 with 81520, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 13300, killing 0 units
1_3 attacks 0_0 with 36603, killing 3 units
0_0 attacks 1_0 with 165, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4580_6 attacks 1_6 with 8600, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 8632, killing 0 units
0_1 attacks 1_3 with 81328, killing 1 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 13130, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4590_6 attacks 1_6 with 8440, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 8216, killing 0 units
0_1 attacks 1_3 with 81136, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 12960, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4600_6 attacks 1_6 with 7960, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 7852, killing 0 units
0_1 attacks 1_3 with 80944, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 12790, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4610_6 attacks 1_6 with 7480, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 7488, killing 0 units
0_1 attacks 1_3 with 80752, killing 1 units
0_3 attacks 1_1 with 12620, killing 0 units
1_7 attacks 0_6 with 27268, killing 4 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77211, killing 8 units
Tick 4620_6 attacks 1_6 with 7320, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 7072, killing 0 units
0_1 attacks 1_3 with 80560, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 12450, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4630_6 attacks 1_6 with 6840, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 6708, killing 0 units
0_1 attacks 1_3 with 80368, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 12280, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4640_6 attacks 1_6 with 6360, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
0_4 attacks 1_7 with 6344, killing 0 units
0_1 attacks 1_3 with 80176, killing 1 units
1_5 attacks 0_4 with 76710, killing 7 units
0_3 attacks 1_1 with 12110, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77211, killing 12 units
Tick 4650_6 attacks 1_6 with 5880, killing 0 units
1_1 attacks 0_1 with 89606, killing 12 units
